label-texr,label
ช่างเทคนิคควบคุมเครื่องจักรโรงงานแปรรูปทางเคมี,3133
ช่างเทคนิคควบคุมเครื่องจักรไอน้ำและหม้อน้ำ,3132
ช่างเทคนิคความปลอดภัยด้านการจราจรทางอากาศ,3155
ช่างเทคนิคงานก่อนงานพิมพ์,7321
ช่างเทคนิคดูแลห้องแสดงภาพ  ห้องสมุด  และพิพิธภัณฑ์,3433
ช่างเทคนิคด้านการแพร่ภาพกระจายเสียงและโสตทัศนูปกรณ์,3521
ช่างเทคนิคด้านวิทยาศาสตร์กายภาพและวิศวกรรมศาสตร์  ซึ่งมิได้จัดประเภทไว้ในที่อื่น,3119
ช่างเทคนิคด้านวิศวกรรมอิเล็กทรอนิกส์,3114
ช่างเทคนิคด้านวิศวกรรมเคมี,3116
ช่างเทคนิคด้านวิศวกรรมเครื่องกล,3115
ช่างเทคนิคด้านวิศวกรรมโยธา,3112
ช่างเทคนิคด้านวิศวกรรมไฟฟ้า,3113
ช่างเทคนิคด้านเคมีและวิทยาศาสตร์กายภาพ,3111
ช่างเทคนิคด้านเครือข่ายและระบบคอมพิวเตอร์,3513
ช่างเทคนิคด้านเว็บไซต์,3514
ช่างเทคนิคด้านเหมืองแร่และโลหะวิทยา,3117
ช่างเทคนิคปฏิบัติการด้านเทคโนโลยีสารสนเทศและการสื่อสาร,3511
ช่างเทคนิควิศวกรโทรคมนาคม,3522
ช่างเทคนิคหรือช่างเครื่องประจำเรือ,3151
ช่างเทคนิคให้ความช่วยเหลือและแก้ปัญหาด้านเทคโนโลยีสารสนเทศและการสื่อสารกับผู้ใช้งาน,3512
ช่างเย็บ  ช่างปัก  และผู้ปฏิบัติงานที่เกี่ยวข้อง,7533
ช่างเสริมสวยและผู้ปฏิบัติงานที่เกี่ยวข้อง,5142
ช่างเหล็ก  ช่างตีเหล็ก  และช่างคุมเครื่องอัดขึ้นรูปโลหะ,7221
ช่างแต่งผม,5141
ช่างโลหะแผ่น,7213
ช่างไม้,7115
ตัวแทนการให้บริการทางธุรกิจ   ซึ่งมิได้จัดประเภทไว้ในที่อื่น,3339
ตัวแทนขายด้านการค้า,3322
ตัวแทนขายประกันภัย,3321
ตัวแทนจัดหางานและผู้ทำสัญญาด้านแรงงาน,3333
ตัวแทนพิธีการศุลกากรและตัวแทนผู้รับจัดการขนส่งสินค้า,3331
ตัวแทนอสังหาริมทรัพย์และผู้จัดการทรัพย์สิน,3334
ตำรวจสืบสวนและนักสืบ,3355
ทนายความ,2611
ทันตแพทย์,2261
นักกรีฑาและนักกีฬา,3421
นักกายภาพบำบัด,2264
นักคณิตศาสตร์ นักคณิตศาสตร์ประกันภัย และนักสถิติ,2120
นักจิตวิทยา,2634
นักชีววิทยา นักพฤกษศาสตร์ นักสัตวศาสตร์  และผู้ประกอบวิชาชีพที่เกี่ยวข้อง,2131
นักดนตรี นักร้อง  และนักประพันธ์เพลง,2652
นักทัศนมาตรวิชาชีพและผู้เชี่ยวชาญการตรวจวัดสายตา,2267
นักทัศนศิลป์,2651
นักทำแผนที่และนักสำรวจ,2165
นักธรณีวิทยาและนักธรณีฟิสิกส์,2114
นักบัญชี,2411
นักบินและผู้ประกอบวิชาชีพอื่นๆ ที่เกี่ยวข้อง,3153
นักประพันธ์และนักเขียนอื่นๆ,2641
นักปรัชญา นักประวัติศาสตร์ และนักรัฐศาสตร์,2633
นักพัฒนาซอฟต์แวร์,2512
นักพัฒนาเว็บไซต์และสื่อผสม ,2513
นักฟิสิกส์และนักดาราศาสตร์,2111
นักภูมิสถาปัตย์,2162
นักวางผังเมืองและระบบการจราจร,2164
นักวางแผนการจัดงานและการประชุม,3332
นักวิเคราะห์การเงิน,2413
นักวิเคราะห์ด้านการบริหารและองค์การ,2421
นักวิเคราะห์ระบบคอมพิวเตอร์,2511
นักวิเคราะห์และพัฒนาซอฟต์แวร์และโปรแกรมประยุกต์   ซึ่งมิได้จัดประเภทไว้ในที่อื่น,2519
นักสังคมวิทยา นักมานุษยวิทยา   และผู้ประกอบวิชาชีพที่เกี่ยวข้อง,2632
นักหนังสือพิมพ์,2642
นักออกแบบตกแต่งภายในและมัณฑนากร,3432
นักออกแบบผลิตภัณฑ์และเครื่องแต่งกาย,2163
นักออกแบบภาพกราฟฟิกและสื่อผสม,2166
นักออกแบบและผู้บริหารฐานข้อมูล,2521
นักอุตุนิยมวิทยา,2112
นักเคมี,2113
นักเต้นรำและนักออกแบบท่าเต้น,2653
นักเศรษฐศาสตร์,2631
นักแปล ล่าม และนักภาษาศาสตร์อื่นๆ,2643
นักแสดง,2655
นายหน้าค้าหลักทรัพย์และการเงิน,3311
นายหน้าทางการค้า,3324
นายแบบและนางแบบแฟชั่น  และผู้แสดงแบบอื่นๆ,5241
บรรณารักษ์และผู้ประกอบวิชาชีพด้านงานสารสนเทศที่เกี่ยวข้อง,2622
ผดุงครรภ์วิชาชีพ,2222
ผู้กำกับและผู้ผลิตภาพยนตร์ ละคร และงานสาขาอื่นๆ ที่เกี่ยวข้อง,2654
ผู้ขับขี่รถจักรยานยนต์,8321
ผู้ขับรถบรรทุกขนาดใหญ่,8332
ผู้ขับรถยนต์ รถแท็กซี่  และรถตู้,8322
ผู้ขับรถโดยสารและรถราง,8331
ผู้ขับหัวรถจักร,8311
ผู้ควบคุมปั้นจั่น รอกยก และเครื่องจักรโรงงานที่เกี่ยวข้อง,8343
ผู้ควบคุมรถยกสินค้า,8344
ผู้ควบคุมเครื่องจักรขนย้ายดินและหิน   และเครื่องจักรโรงงานที่เกี่ยวข้อง,8342
ผู้ควบคุมเครื่องจักรขุดเจาะบ่อและผู้ปฏิบัติงานที่เกี่ยวข้อง,8113
ผู้ควบคุมเครื่องจักรจัดเตรียมขนสัตว์และหนังฟอก,8155
ผู้ควบคุมเครื่องจักรจัดเตรียมเส้นใย  ปั่น  และกรอเส้นใย,8151
ผู้ควบคุมเครื่องจักรด้านการซักรีด,8157
ผู้ควบคุมเครื่องจักรตกแต่ง  ชุบ  และเคลือบผิวโลหะ,8122
ผู้ควบคุมเครื่องจักรทอผ้าและเครื่องจักรถักนิต,8152
ผู้ควบคุมเครื่องจักรทำรองเท้าและเครื่องจักรที่เกี่ยวข้อง,8156
ผู้ควบคุมเครื่องจักรผลิตผลิตภัณฑ์กระดาษ,8143
ผู้ควบคุมเครื่องจักรผลิตผลิตภัณฑ์ซีเมนต์  หิน  และแร่อื่นๆ,8114
ผู้ควบคุมเครื่องจักรผลิตผลิตภัณฑ์ด้านการถ่ายภาพ,8132
ผู้ควบคุมเครื่องจักรผลิตผลิตภัณฑ์พลาสติก,8142
ผู้ควบคุมเครื่องจักรผลิตผลิตภัณฑ์ยาง,8141
ผู้ควบคุมเครื่องจักรผลิตผลิตภัณฑ์สิ่งทอ ขนสัตว์  และหนังฟอก  ซึ่งมิได้จัดประเภทไว้ในที่อื่น,8159
ผู้ควบคุมเครื่องจักรผลิตผลิตภัณฑ์อาหารและผลิตภัณฑ์ที่เกี่ยวข้อง,8160
ผู้ควบคุมเครื่องจักรฟอก  ย้อม  และทำความสะอาดเส้นใย,8154
ผู้ควบคุมเครื่องจักรเย็บผ้า,8153
ผู้ควบคุมเครื่องจักรโรงงานชนิดเคลื่อนที่ได้ที่ใช้ในด้านการเกษตรและป่าไม้,8341
ผู้ควบคุมเครื่องจักรโรงงานผลิตเยื่อกระดาษและกระดาษ,8171
ผู้ควบคุมเครื่องจักรโรงงานแปรรูปโลหะ,8121
ผู้ควบคุมเครื่องจักรโรงงานแปรรูปไม้,8172
ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักรผลิตผลิตภัณฑ์เคมี,8131
ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักรอื่นๆ  ชนิดติดตั้งประจำที่   ซึ่งมิได้จัดประเภทไว้ในที่อื่น,8189
ผู้คัดคุณภาพและทดสอบผลิตภัณฑ์  (ยกเว้นอาหารและเครื่องดื่ม),7543
ผู้ฆ่าชำแหละเนื้อสัตว์และสัตว์น้ำ  และผู้จัดเตรียมอาหารที่เกี่ยวข้อง,7511
ผู้จัดการด้านการกีฬา  นันทนาการ  และศูนย์วัฒนธรรม,1431
ผู้จัดการด้านการก่อสร้าง,1323
ผู้จัดการด้านการขายและการตลาด,1221
ผู้จัดการด้านการค้าปลีกและค้าส่ง,1420
ผู้จัดการด้านการจัดหาและจัดส่งสินค้า,1324
ผู้จัดการด้านการทำเหมือง,1322
ผู้จัดการด้านการบริการ  ซึ่งมิได้จัดประเภทไว้ในที่อื่น,1439
ผู้จัดการด้านการบริการดูแลผู้สูงอายุ,1343
ผู้จัดการด้านการบริการดูแลเด็ก,1341
ผู้จัดการด้านการบริการธุรกิจและการบริหารจัดการ  ซึ่งมิได้จัดประเภทไว้ในที่อื่น,1219
ผู้จัดการด้านการบริการวิชาชีพ   ซึ่งมิได้จัดประเภทไว้ในที่อื่น,1349
ผู้จัดการด้านการบริการสุขภาพ,1342
ผู้จัดการด้านการบริการเทคโนโลยีสารสนเทศและการสื่อสาร,1330
ผู้จัดการด้านการผลิต,1321
ผู้จัดการด้านการผลิตในภาคการเกษตรและการป่าไม้,1311
ผู้จัดการด้านการผลิตในภาคการเพาะเลี้ยงสัตว์น้ำและการประมง,1312
ผู้จัดการด้านการศึกษา,1345
ผู้จัดการด้านการเงิน,1211
ผู้จัดการด้านงานสังคมสงเคราะห์,1344
ผู้จัดการด้านทรัพยากรบุคคล,1212
ผู้จัดการด้านนโยบายและแผน,1213
ผู้จัดการด้านวิจัยและพัฒนา,1223
ผู้จัดการด้านโฆษณาและประชาสัมพันธ์,1222
ผู้จัดการฝ่ายการเงินและการบัญชี  ,1231
ผู้จัดการภัตตาคาร/ร้านอาหาร,1412
ผู้จัดการสาขาด้านการบริการทางการเงินและการประกันภัย,1346
ผู้จัดการโรงแรม,1411
ผู้จัดซื้อ,3323
ผู้จำหน่ายสินค้าตามบ้าน,5243
ผู้จำหน่ายสินค้าตามแผงลอยและตลาด,5211
ผู้จำหน่ายสินค้าอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,5249
ผู้ชิมรสและจัดระดับชั้นคุณภาพของอาหารและเครื่องดื่ม,7515
ผู้ช่วยงานครัว,9412
ผู้ช่วยงานดูแลสุขภาพ,5321
ผู้ช่วยด้านการแพทย์,3256
ผู้ช่วยทันตแพทย์และนักทันตกรรมบำบัด,3251
ผู้ช่วยแพทย์,2240
ผู้ช่วยและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับสัตวแพทย์,3240
ผู้ดูแลส่วนบุคคลด้านสุขภาพ  ซึ่งมิได้จัดประเภทไว้ในที่อื่น,5329
ผู้ดูแลส่วนบุคคลตามบ้าน,5322
ผู้ตรวจวัดสายตาและช่างประกอบแว่นตา,3254
ผู้ตรวจสอบด้านสิ่งแวดล้อม การทำงาน สุขภาพ และงานที่เกี่ยวข้อง,3257
ผู้ถนอมผลไม้  พืชผัก  และผู้ถนอมอาหารที่เกี่ยวข้อง,7514
ผู้ทำขนมปัง ขนมเค้ก  ขนมหวาน  และลูกกวาด,7512
ผู้นำตามประเพณีและหัวหน้าหมู่บ้าน,1113
ผู้บริหารระบบงานคอมพิวเตอร์,2522
ผู้บัญญัติกฎหมาย,1111
ผู้ปฏิบัติงานดูแลเด็ก,5311
ผู้ปฏิบัติงานด้านการประกอบ  ซึ่งมิได้จัดประเภทไว้ในที่อื่น,8219
ผู้ปฏิบัติงานด้านการประมง  ล่าสัตว์  และเก็บพืชผลเพื่อการดำรงชีพ,6340
ผู้ปฏิบัติงานด้านการประมงน้ำจืดและประมงชายฝั่งทะเล,6222
ผู้ปฏิบัติงานด้านการปลูกพืชสวน  ไม้ดอกไม้ประดับ  และพืชในเรือนเพาะชำ,6113
ผู้ปฏิบัติงานด้านการปลูกพืชเพื่อการดำรงชีพ,6310
ผู้ปฏิบัติงานด้านการปลูกพืชแบบผสมผสาน,6114
ผู้ปฏิบัติงานด้านการปลูกพืชไร่และพืชผัก,6111
ผู้ปฏิบัติงานด้านการปลูกไม้ยืนต้นและไม้ผล,6112
ผู้ปฏิบัติงานด้านการป่าไม้และงานที่เกี่ยวข้อง,6210
ผู้ปฏิบัติงานด้านการเพาะเลี้ยงสัตว์น้ำ,6221
ผู้ปฏิบัติงานด้านการเลี้ยงสัตว์เพื่อการดำรงชีพ,6320
ผู้ปฏิบัติงานด้านรถพยาบาล,3258
ผู้ปฏิบัติงานเครื่องจักรที่ใช้ในการห่อและบรรจุผลิตภัณฑ์   การบรรจุขวด  และการติดฉลาก,8183
ผู้ปฏิบัติงานเครื่องจักรโรงงานผลิตแก้วและเซรามิก,8181
ผู้ปฏิบัติงานเครื่องจักรไอน้ำและหม้อน้ำ (boiler),8182
ผู้ปฏิบัติงานใต้น้ำ,7541
ผู้ประกอบวิชาชีพ ที่เกี่ยวข้องกับด้านศิลปะ วัฒนธรรม  ซึ่งมิได้จัดประเภทไว้ในที่อื่น,3435
ผู้ประกอบวิชาชีพการขายด้านเทคนิคและด้านการแพทย์ (ยกเว้นด้านเทคโนโลยีสารสนเทศและการสื่อสาร),2433
ผู้ประกอบวิชาชีพการขายด้านเทคโนโลยีสารสนเทศและการสื่อสาร,2434
ผู้ประกอบวิชาชีพด้านกฎหมาย ซึ่งมิได้จัดประเภทไว้ในที่อื่น,2619
ผู้ประกอบวิชาชีพด้านการประชาสัมพันธ์,2432
ผู้ประกอบวิชาชีพด้านการฝึกอบรมและการพัฒนาพนักงาน,2424
ผู้ประกอบวิชาชีพด้านการรักษาสิ่งแวดล้อม,2133
ผู้ประกอบวิชาชีพด้านงานบุคคลและอาชีพ,2423
ผู้ประกอบวิชาชีพด้านฐานข้อมูลและเครือข่าย  ซึ่งมิได้จัดประเภทไว้ในที่อื่น,2529
ผู้ประกอบวิชาชีพด้านนโยบายการบริหาร,2422
ผู้ประกอบวิชาชีพด้านสังคมสงเคราะห์และให้คำปรึกษา,2635
ผู้ประกอบวิชาชีพด้านสุขภาพและสุขอนามัยที่เกี่ยวข้องกับสิ่งแวดล้อมและการประกอบวิชาชีพ,2263
ผู้ประกอบวิชาชีพด้านเครือข่ายคอมพิวเตอร์,2523
ผู้ประกอบวิชาชีพด้านแก้ไขการได้ยินและการพูด,2266
ผู้ประกอบวิชาชีพด้านโฆษณาและการตลาด,2431
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับกฎหมายและงานที่เกี่ยวข้อง,3411
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับการผดุงครรภ์,3222
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับการพยาบาล,3221
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับงานสังคมสงเคราะห์,3412
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านกฎระเบียบของรัฐ  ซึ่งมิได้จัดประเภทไว้ในที่อื่น,3359
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านสถิติ คณิตศาสตร์  และคณิตศาสตร์ประกันภัย,3314
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับศาสนา,3413
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับแพทย์แผนโบราณและแพทย์ทางเลือก,3230
ผู้ประกอบวิชาชีพที่เกี่ยวข้องทางด้านบัญชี,3313
ผู้ประกอบวิชาชีพอื่นๆ  ด้านการสอน ซึ่งมิได้จัดประเภทไว้ในที่อื่น,2359
ผู้ประกอบวิชาชีพอื่นๆ  ที่เกี่ยวข้องกับด้านสุขภาพ   ซึ่งมิได้จัดประเภทไว้ในที่อื่น,3259
ผู้ประกอบวิชาชีพอื่นๆ ด้านสุขภาพ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,2269
ผู้ประกอบอาชีพงานพื้นฐานอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,9629
ผู้ประกอบอาหารจานด่วน,9411
ผู้ประกอบอุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์,8212
ผู้ประกอบเครื่องจักรกล,8211
ผู้ประกาศทางวิทยุ โทรทัศน์  และผู้ประกาศด้านอื่นๆ,2656
ผู้ประเมินราคาและมูลค่าความเสียหาย,3315
ผู้ผลิตผลิตภัณฑ์นม,7513
ผู้ฝึกสอนและผู้ดูแลโปรแกรมการสร้างสมรรถภาพของร่างกายและการนันทนาการ,3423
ผู้ฝึกอบรมด้านเทคโนโลยีสารสนเทศ,2356
ผู้พิพากษา,2612
ผู้รมยาและกำจัดแมลงและสัตว์ศัตรูพืช,7544
ผู้สร้างสรรค์งานศิลปะและศิลปินการแสดง  ซึ่งมิได้จัดประเภทไว้ในที่อื่น,2659
ผู้เก็บหรือดูแลเอกสารหรือบันทึกสำคัญ  และภัณฑารักษ์,2621
ผู้เชี่ยวชาญด้านการศึกษา,2351
ผู้เชี่ยวชาญเกี่ยวกับอาหารเพื่อสุขภาพและนักโภชนาการ,2265
ผู้เลี้ยงปศุสัตว์และผลิตผลิตภัณฑ์นม,6121
ผู้เลี้ยงผึ้งและไหม,6123
ผู้เลี้ยงสัตว์ปีก,6122
ผู้เลี้ยงสัตว์เพื่อการค้าขาย  ซึ่งมิได้จัดประเภทไว้ในที่อื่น,6129
ผู้ให้คำปรึกษาด้านการเกษตร  การป่าไม้  และการประมง,2132
ผู้ให้คำปรึกษาด้านการเงินและการลงทุน,2412
ผู้ให้บริการด้านการป้องกันภัย  ซึ่งมิได้จัดประเภทไว้ในที่อื่น,5419
ผู้ให้บริการตามถนนและสถานที่ที่คล้ายกัน,9510
พนักงานขายในศูนย์บริการลูกค้า,5244
พนักงานควบคุมแผงเครื่องติดต่อทางโทรศัพท์ (พนักงานต่อโทรศัพท์),4223
พนักงานช่วยขายในร้านค้า,5223
พนักงานดับเพลิง,5411
พนักงานดูแลความเรียบร้อยของอาคารสถานที่,5153
พนักงานดูแลงานบ้าน/แม่บ้าน,5152
พนักงานดูแลและเก็บค่าโดยสารยานพาหนะ,5112
พนักงานต้อนรับของโรงแรม,4224
พนักงานต้อนรับทั่วไป,4226
พนักงานต้อนรับและบริการในการเดินทาง,5111
พนักงานบริการติดต่อสอบถาม,4225
พนักงานบริการส่วนบุคคล  ซึ่งมิได้จัดประเภทไว้ในที่อื่น,5169
พนักงานบริการในสถานีบริการน้ำมันเชื้อเพลิง,5245
พนักงานผสมเครื่องดื่ม (บาร์เทนเดอร์),5132
พนักงานพิมพ์ดีดและเจ้าหน้าที่เครื่องประมวลผลคำ,4131
พนักงานรักษาความปลอดภัย,5414
พนักงานรับส่งข่าวสาร หีบห่อสิ่งของ  และสัมภาระ,9621
พนักงานศูนย์บริการข้อมูลข่าวสาร,4222
พนักงานสัมภาษณ์ในโครงการสำรวจและวิจัยตลาด,4227
พนักงานสาธิตสินค้า,5242
พนักงานห้ามล้อรถไฟ   พนักงานส่งสัญญาณรถไฟ  และพนักงานสับเปลี่ยนรถไฟ,8312
พนักงานเคาน์เตอร์บริการอาหาร,5246
พนักงานเร่งรัดหนี้สิน  ,4215
พนักงานเร่งรัดหนี้สินและพนักงานที่เกี่ยวข้อง,4214
พนักงานเสิร์ฟอาหารและเครื่องดื่ม,5131
พนักงานแคชเชียร์และเสมียนขายตั๋ว,5230
พนักงานให้บริการข้อมูลข่าวสารแก่ลูกค้า   ซึ่งมิได้จัดประเภทไว้ในที่อื่น,4229
พยาบาลวิชาชีพ,2221
พ่อครัว/แม่ครัว,5120
มัคคุเทศก์,5113
ลูกเรือบนเรือและผู้ปฏิบัติงานอื่นๆ ที่เกี่ยวข้อง,8350
วิศวกร (ยกเว้นวิศวกรเทคโนโลยีไฟฟ้า) ซึ่งมิได้จัดประเภทไว้ในที่อื่น,2149
วิศวกรสิ่งแวดล้อม,2143
วิศวกรอิเล็กทรอนิกส์,2152
วิศวกรอุตสาหการและการผลิต,2141
วิศวกรเคมี,2145
วิศวกรเครื่องกล,2144
วิศวกรเหมืองแร่  นักโลหะกรรม  และผู้ประกอบวิชาชีพที่เกี่ยวข้อง,2146
วิศวกรโทรคมนาคม,2153
วิศวกรโยธา,2142
วิศวกรไฟฟ้า,2151
สถาปนิกก่อสร้าง,2161
สัตวแพทย์,2250
สัปเหร่อและเจ้าหน้าที่ฉีดยาศพ,5163
หัวหน้าคุมงานด้านการก่อสร้าง,3123
หัวหน้าคุมงานด้านการทำความสะอาดและงานแม่บ้านในสำนักงาน โรงแรม และสถานประกอบการอื่นๆ,5151
หัวหน้าคุมงานด้านการผลิต,3122
หัวหน้าคุมงานด้านเหมืองแร่,3121
หัวหน้าคุมงานในร้านค้า,5222
หัวหน้าคุมงานในสำนักงาน,3341
หัวหน้าพ่อครัว/ แม่ครัว,3434
เจ้าของร้านค้า,5221
